"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Проверка наличия функциональности """"Зв`язатися з нами""""","Oleksandr Lyshenko","7/13/2023 9:37 PM","300s","300s","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/13/2023 9:37 PM"
"C2","Проверка обязательных полей формы """"Зв`язатися з нами""""","Oleksandr Lyshenko","7/13/2023 9:41 PM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/13/2023 9:41 PM"
"C3","Проверка ввода недопустимого email","Oleksandr Lyshenko","7/13/2023 9:41 PM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/13/2023 9:41 PM"
"C4","Проверка отправки сообщения с валидными данными","Oleksandr Lyshenko","7/13/2023 9:42 PM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/13/2023 9:42 PM"
"C5","Проверка ограничения длины сообщения","Oleksandr Lyshenko","7/13/2023 9:43 PM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/13/2023 9:43 PM"
"C6","Проверка негативного сценария - отправка пустого сообщения","Oleksandr Lyshenko","7/14/2023 12:00 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:00 AM"
"C7","Проверка негативного сценария - ввод некорректного номера телефона","Oleksandr Lyshenko","7/14/2023 12:05 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:05 AM"
"C8","Проверка негативного сценария - ввод специальных символов в поле """"Ім'я""""","Oleksandr Lyshenko","7/14/2023 12:06 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:06 AM"
"C9","Проверка негативного сценария - отправка сообщения с невыбранным вариантом """"Тема""""","Oleksandr Lyshenko","7/14/2023 12:07 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:07 AM"
"C10","Проверка негативного сценария - отправка сообщения без согласия """"приймаю умови полiтики конфiдейцiиностi""""","Oleksandr Lyshenko","7/14/2023 12:08 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:08 AM"
"C11","Проверка негативного сценария - отправка сообщения с некорректной длиной номера телефона","Oleksandr Lyshenko","7/14/2023 12:11 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:11 AM"
"C12","Проверка негативного сценария - отправка сообщения с некорректным форматом email","Oleksandr Lyshenko","7/14/2023 12:15 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:15 AM"
"C13","Проверка негативного сценария - отправка сообщения с превышением допустимого лимита символов в поле """"Повідомлення""""","Oleksandr Lyshenko","7/14/2023 12:23 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:23 AM"
"C14","Проверка негативного сценария - отправка сообщения с недопустимым типом файла в поле вложения","Oleksandr Lyshenko","7/14/2023 12:24 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:24 AM"
"C15","Проверка негативного сценария - отправка сообщения с отсутствующим обязательным полем","Oleksandr Lyshenko","7/14/2023 12:25 AM","300s","","Medium","","Test Cases","0","","Master","S1","Other","Oleksandr Lyshenko","7/14/2023 12:25 AM"
